gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
mens,3/12/2023,0,1,0.60401245,0.21929161,0.124536951,0.046087028,0.024235249,0.012028489,1,1,64,63,Troy,77.80,Midwest,14,118,91,0.5516,14,77.80473751
mens,3/12/2023,0,1,0.39598755,0.116699701,0.055609081,0.016690661,0.006185568,0.002222538,0,1,65,31,UCLA,84.91,Midwest,7,120,46,0.5879,7,84.91417703
mens,3/12/2023,0,1,0.39598755,0.116699701,0.055609081,0.016690661,0.006185568,0.002222538,0,1,66,64,Utah St.,83.93,Midwest,10,122,30,0.6004,10,83.93317792
mens,3/12/2023,0,1,0.921391659,0.646431553,0.452847483,0.222234482,0.14000751,0.082699134,1,1,67,32,Tennessee,93.17,Midwest,2,124,6,0.6570,2,93.17114674
mens,3/12/2023,#N/A,#N/A,0.078608341,0.017577136,0.00440695,0.000665104,0.000132684,2.71E-05,1,1,68,65,Wofford,76.27,Midwest,15,126,107,0.5393,15,76.26526421
womens,3/12/2023,#N/A,#N/A,0.999655968,0.9909538,0.970030517,0.906635613,0.758053024,0.644855834,1,1,69,#N/A,#N/A,#NAME?,Albany 1,#N/A,0,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.000344032,4.09E-05,4.20E-06,1.92E-07,4.88E-09,1.96E-10,0,1,70,#N/A,#N/A,#NAME?,Albany 1,#N/A,2,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.000344032,4.09E-05,4.20E-06,1.92E-07,4.88E-09,1.96E-10,0,1,71,#N/A,#N/A,#NAME?,Albany 1,#N/A,3,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.572000643,0.005785862,0.002900197,0.000818288,0.000147474,3.34E-05,1,1,72,#N/A,#N/A,#NAME?,Albany 1,#N/A,4,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.427999357,0.003219457,0.001457861,0.000361174,6.04E-05,1.28E-05,1,1,73,#N/A,#N/A,#NAME?,Albany 1,#N/A,6,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.800671891,0.263088529,0.008148457,0.002918517,0.000914624,0.000335554,1,1,74,#N/A,#N/A,#NAME?,Albany 1,#N/A,8,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.199328109,0.027038232,0.000168956,1.96E-05,1.74E-06,2.11E-07,1,1,75,#N/A,#N/A,#NAME?,Albany 1,#N/A,10,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.949169273,0.70023912,0.017261787,0.005336394,0.001295995,0.000378184,1,1,76,#N/A,#N/A,#NAME?,Albany 1,#N/A,12,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.050830727,0.009634118,2.80E-05,1.74E-06,8.70E-08,6.36E-09,1,1,77,#N/A,#N/A,#NAME?,Albany 1,#N/A,14,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.721302534,0.160112483,0.060089228,0.003078759,0.000909276,0.000316616,1,1,78,#N/A,#N/A,#NAME?,Albany 1,#N/A,16,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.119033049,0.012414447,0.002460672,5.73E-05,7.92E-06,1.43E-06,0,1,79,#N/A,#N/A,#NAME?,Albany 1,#N/A,18,#N/A,#NAME?,#N/A,#NAME?
