gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,0,1,0.543772833,0.031235505,0.010379991,0.003418807,0.000336447,1.16E-04,1,1,145,West Virginia,82.94357289,Albany 2,8,68,34,0.6089,8,82.94357289
womens,3/12/2023,0,1,0.456227167,0.022417091,0.007844498,0.002710818,0.000150969,0.0000339,1,1,2250,Princeton,88.13573219,Albany 2,9,70,14,0.6408,9,88.13573219
womens,3/12/2023,0,1,0.839427212,0.21657876,0.046037484,0.019832658,0.002560445,0.001068779,1,1,97,Colorado,88.67790698,Albany 2,5,72,21,0.6295,5,88.67790698
womens,3/12/2023,0,1,0.160572788,0.01271667,0.000847864,0.000157616,6.89E-06,1.28E-06,1,1,2181,Drake,79.21302211,Albany 2,12,74,37,0.6028,12,79.21302211
womens,3/12/2023,0,1,0.977640973,0.767681074,0.211734833,0.107845265,0.020641104,0.011105753,1,1,251,Kansas St.,90.92529168,Albany 2,4,76,17,0.6382,4,90.92529168
womens,3/12/2023,0,1,0.022359027,0.003023496,0.0000921,9.22E-06,2.08E-07,2.27E-08,1,1,151,Portland,69.69100941,Albany 2,13,78,91,0.5544,13,69.69100941
womens,3/12/2023,0,1,0.593788738,0.147826932,0.04050588,0.008323231,0.000705644,0.000218186,1,1,38,Louisville,85.64259028,Albany 2,6,80,30,0.6165,6,85.64259028
womens,3/12/2023,0,1,0.406211262,0.07894008,0.012033858,0.001355069,0.0000746,1.66E-05,1,1,2393,Middle Tenn. St.,77.4291268,Albany 2,11,82,48,0.5895,11,77.4291268
womens,3/12/2023,0,1,0.983897226,0.771785578,0.21139271,4.31E-02,4.04E-03,1.33E-03,1,1,150,LSU,90.62564037,Albany 2,3,84,20,0.633,3,90.62564037
womens,3/12/2023,0,1,0.016102774,0.00144741,0.0000291,0.000000446,3.25E-09,1.35E-10,1,1,314,Rice,67.04049671,Albany 2,14,86,105,0.5435,14,67.04049671
womens,3/12/2023,0,1,0.518492574,0.051076515,0.022413861,3.53E-03,2.73E-04,7.90E-05,1,1,52,Creighton,89.16726559,Albany 2,7,88,16,0.6393,7,89.16726559
womens,3/12/2023,0,1,0.481507426,0.044710971,0.018582101,0.002717103,0.000191478,0.0000516,1,1,61,UNLV,83.9826515,Albany 2,10,90,26,0.6217,10,83.9826515
womens,3/12/2023,0,1,0.996851867,0.904005263,0.695031237,0.282325442,0.055853132,3.06E-02,1,1,2294,UCLA,98.26028107,Albany 2,2,92,7,0.6711,2,98.26028107
womens,3/12/2023,0,1,0.003148133,0.000207252,0.0000113,0.00000016,1.39E-09,6.8E-11,1,1,2545,Cal Baptist,71.73790802,Albany 2,15,94,70,0.5727,15,71.73790802
womens,3/12/2023,0,1,0.996053013,0.902686563,5.26E-01,2.54E-01,1.17E-01,2.31E-02,1,1,259,USC,98.23548977,Portland 3,1,96,8,0.6674,1,98.23548977
womens,3/12/2023,0,1,0.003946987,0.000311824,0.00000737,0.000000164,4.57E-09,4.3E-11,1,1,236,TAMU Corpus Christi,61.77611932,Portland 3,16,98,151,0.5219,16,61.77611932
womens,3/12/2023,0,1,0.401915236,0.03179182,1.00E-02,2.62E-03,5.44E-04,4.18E-05,1,1,30,Kansas,83.25508089,Portland 3,8,100,32,0.6106,8,83.25508089
womens,3/12/2023,0,1,0.598084764,6.52E-02,2.14E-02,5.81E-03,1.42E-03,1.30E-04,1,1,2571,Michigan,75.40055219,Portland 3,9,102,71,0.5713,9,75.40055219
